Topic,Count,Name,Representation,Representative_Docs
9,1196,9_pasta_spaghetti_cook_sauce,"['pasta', 'spaghetti', 'cook', 'sauce', 'add', 'drain', 'garlic', 'cheese', 'tomatoes', 'heat']","['Spaghetti Lemoncello. Fill a 6-quart kettle three fourths full with salted water and bring to a boil for spaghetti. Thinly slice garlic and finely chop anchovy. Cook pasta in boiling water until almost al dente. While pasta is cooking, in a 12-inch heavy skillet cook garlic in oil over moderate heat, stirring, until golden. Remove skillet from heat and stir in anchovy, zest, red pepper flakes, and 1/2 cup pasta cooking water. Ladle out and reserve 1 cup additional cooking water and drain pasta in a colander. Add pasta to garlic mixture and cook over moderately high heat, tossing and, if necessary, adding enough reserved cooking water to keep pasta moist, about 2 minutes, or until pasta is al dente. Add parsley, 1 tablespoon Parmesan, and salt and pepper to taste and toss well. Serve additional Parmesan on the side.', 'Lemon Spaghetti. Bring a large pot of water to a boil. Salt the water and drop the spaghetti into the pot. Heat a large deep skillet over low heat. Add extra-virgin olive oil and garlic and crushed red pepper flakes. When the pasta has been cooking about 5 minutes, add lemon juice, a ladle of the cooking water from the pasta and the cream to the garlic and oil. Raise heat a bit to bring sauce to a bubble. Drain pasta when it still has a good bite to it, al dente. Add lemon zest and half of the cheese to the cream sauce. Season the sauce with salt, to taste. Add pasta to pan and turn off heat. Toss the pasta with sauce a minute or 2, allowing it time to soak up the sauce. Top the plates of pasta or platter with remaining cheese, parsley and basil.', 'Cherry Tomato, Basil, Spinach And Parmesan Pasta. Bring a large pot of well-salted water to a boil. Cook pasta according to package directions until al dente. Drain and reserve 3/4 cups of pasta water. While the pasta is cooking, heat the olive oil in a large frying pan over medium heat. Add the garlic, and gently fry for about a minute or two, until the garlic is just beginning to color (being careful to not let burn). Add the tomatoes, oregano, salt and black pepper. Cook tomatoes for about 2-3 minutes until juices to start to burst. Add the chopped peperoncino chili pepper and cook for another minute or two until slightly softened. Add the cooked pasta and reserved pasta water little by little until pasta is well coated. and consistency is reached (I used a little more than 1/2 a cup). Allow to simmer for about a minute then add the red chili pepper flakes, chopped spinach, basil and Parmesan cheese. Turn heat to low and toss gently to coat evenly and add more pasta water if needed. Remove from heat. Season more to taste if desired and serve with extra grated Parmesan cheese.']"
10,1180,10_dough_yeast_rise_let rise,"['dough', 'yeast', 'rise', 'let rise', 'rolls', 'flour', 'let', 'knead', 'warm', 'bread']","['Best Yet Hot Rolls. In bowl, dissolve yeast in water. Add milk, sugar, salt, egg, shortening and half of the flour to yeast. Mix with spoon until smooth. Add remaining flour and mix until smooth. Turn dough onto lightly floured working area; knead until smooth (5 minutes). Round up in greased bowl. Bring greased side up; cover with Handi-Wrap. Let rise in warm place (85°) until double, about 1 1/2 hours. Punch down and let rise again until almost double (about 30 minutes). Shape dough into rolls. Place in greased baking pan and let rise. Bake at 450°.', 'Home-Style Yeast Bread. In a large bowl, dissolve yeast in warm water. Add the sugar, butter, salt, eggs and 4 cups flour. Beat until smooth. Stir in enough remaining flour to form a firm dough. Turn onto a floured surface; knead until smooth and elastic, about 6-8 minutes. Place in a greased bowl, turning once to grease top. Cover and let rise in a warm place until doubled, about 1 hour. Punch dough down; turn onto a floured surface. Divide in half. Shape into loaves and place in two greased 9x5-in. loaf pans. Cover and let rise until doubled, about 45 minutes. Bake at 350° for 30-35 minutes or until golden brown. Remove from pans to wire racks to cool.', 'Dinner Rolls 101. In a small bowl, sprinkle the yeast over 1/4 cup warm (105 to 115F) water and let stand until creamy, 5 to 10 minutes. Stir to dissolve the yeast. In a medium saucepan, heat the buttermilk, stirring constantly, just until warm (about 100F). Or place the buttermilk in a 1-quart glass measuring cup and microwave on High for 1 minute, stirring occasionally, until warm. Transfer the buttermilk to a bowl and stir in the dissolved yeast mixture, melted butter, eggs, sugar, baking soda, and salt. To make the dough by hand, transfer the liquid ingredients to a large bowl. Gradually stir in enough of the flour to form a shaggy dough. Turn out onto a lightly floured work surface. Knead the dough, adding more flour as needed, until the dough is smooth and elastic, 8 to 10 minutes. Form the dough into a ball. To make the dough in a heavy-duty standing mixer, pour the liquid ingredients in the mixer bowl, and attach the paddle blade. With the machine on low speed, gradually add enough of the flour to make a stiff dough that collects around the blade. Change to the dough hook. Knead the dough in the machine, adding more flour as needed to make an elastic dough, about 8 minutes. Transfer to a lightly floured work surface and knead by hand until smooth, about 2 minutes. Form the dough into a ball. To make the dough in a food processor, fit an 11-cup (or larger)-capacity machine with the metal blade. Make the dough in two batches. Place 2 1/2 cups of the flour in the machine and pulse to combine. With the machine running, pour about half of the liquid ingredients through the feed tube to form a soft ball of dough that rides on top of the blade. Process for 45 seconds to knead the dough. Transfer the dough to a lightly floured work surface and cover with plastic wrap. Repeat with the remaining ingredients. Knead the two portions of dough together by hand until smooth and combined. Form the dough into a ball. Place the dough in a large, buttered bowl. Turn the dough to coat with the butter, and turn the dough smooth side up. Cover tightly with plastic wrap and let stand in a warm place until doubled in volume (if you poke the dough with your finger, an impression will remain), about 1 1/4 hours. Lightly butter two 9-inch round cake pans. Punch down the dough and knead briefly on an unfloured work surface. Cut the dough into 18 equal pieces. (This is easiest to do by cutting the dough into thirds, then each third in half, and each half into 3 pieces.) Cover the cut pieces of dough with a piece of plastic wrap. Place a piece of dough on the work surface. Using the sides of your hands, tuck the dough underneath itself, turning the dough as you tuck, stretching the top surface and eventually forming a taut ball. Transfer the roll to a prepared pan. Repeat with the remaining piece of dough, allowing 9 balls per pan. Cover loosely with plastic wrap and let stand in a warm place until almost doubled in volume, about 40 minutes. Preheat the oven to 375F. Brush the tops of the rolls lightly with melted butter and sprinkle with the seeds, if using. Bake until golden brown, 20 to 25 minutes. Remove from the pans and serve warm. VARIATIONS Knot Rolls: Lightly butter two baking sheets. Work with one piece of dough at a time, keeping the others covered with plastic wrap. Roll the dough between your palms into a thick rope. Place the rope on an unfloured work surface. Put your hands on top of the dough and roll it back and forth, stretching the dough into a 9-inch-long rope. Tie the dough into an overhand knot, with the knot positioned in the center of the rope. Place the knots 2 inches apart on the prepared baking sheets. Cover loosely with plastic wrap and let rise until almost doubled in size. Bake as directed above. Cloverleaf Rolls: Lightly butter 18 muffin cups. Cut each piece of dough into thirds and form each piece into a small, taut ball. Place 3 balls, smooth sides up, in each muffin tin. Cover loosely with plastic wrap and let rise until almost doubled. Bake as directed.']"
11,1177,11_tortilla_taco_tortillas_cheese,"['tortilla', 'taco', 'tortillas', 'cheese', 'salsa', 'chicken', 'chips', 'beans', 'taco seasoning', 'meat']","['Layered Taco Dip. Preheat oven to 350°. Brown ground beef; drain fat. Add taco seasoning per package directions and simmer approximately 5 minutes. Layer beef on bottom of 9 x 13-inch baking dish; top with refried beans; layer sour cream and salsa to taste and shredded cheese. Bake at 350° until cheese melts (approximately 10 minutes). Garnish with diced lettuce, tomato, onion and black olives. Add salsa and serve with tortilla chips. Enjoy!', 'Taco Pizzas. Start by browning meat in a skillet until no longer pink. Warm refried beans in a pot over low heat, stirring often to avoid burning. Preheat oven to 350F. While meat is browning, drizzle a small amount of oil (olive or vegetable) in another skillet. Over low-medium heat, lightly brown both sides of each tortilla shell, making them crispy. Set on a plate with paper towels to absorb the extra oil. You can do this step without oil, by just lightly toasting both sides of each tortilla shell on low heat. Meanwhile, add taco seasoning to meat according to package instructions. When all tortilla shells are crispy and the beef is fully cooked and seasoned, take 4 of the shells and lay them out on cookie sheets. Spread a layer of refried beans on each, then top each with a quarter of the seasoned beef. Top each with one of the last 4 tortillas, forming somewhat of a sandwich. Sprinkle onions and cheese on the top of each layered pizza. Place cookie sheets in the oven until the cheese melts, about 10 minutes. Take pizzas out of the oven and top with lettuce and tomato. Serve with taco sauce, sour cream, and/or guacamole. Notes: Use ground turkey for a lighter variation. For extra heat, substitute shredded pepper jack cheese, or add diced jalapenos in with the onions. If you prefer corn tortillas, feel free to use them. They are healthier (and more traditional) than flour tortillas.', ""Chipotle Bean Tostadas. 1 Prepare the beans by sauteing onions in oil until softened in a large, thick-bottomed skillet. Add ground cumin and cook an additional 30 seconds. Add the beans, a teaspoon of salt, and a cup of water. Use a potato masher to mash the beans into the pan, until the consistency of (somewhat lumpy) mashed potatoes. Cook for a few minutes on medium hight heat until water is absorbed. Stir in the Chipotle Tabasco sauce and season to taste with more salt if needed. Remove to a warm burner out of the way, cover. tortilla-cookingTo prepare the tortillas, heat the oven to 200F Line a baking pan with paper towels and place next to the stove. Heat 5 Tbsp of oil in a small skillet on medium high heat, until the bubbles form immediately when you insert the edge of a tortilla in it. Using tongs, place a tortilla in the hot oil and let cook until golden brown on both sides, about 30 seconds per side. You can use a metal spatula to flatten down the tortilla while cooking. tortilla-cookingUse tongs to lift the cooked tortilla out of the pan, allowing the excess oil to drip off of it, back into the pan. Place the cooked tortilla on the paper towels to absorb more of the oil. Sprinkle a little salt onto each warm tortilla. Do each tortilla one at a time this way. As you fill up a baking pan, put the pan in the oven to keep the tortillas warm. Add more oil as needed. Carefully monitor the oil temperature. Don't let it get too hot, or the tortillas will burn, or too cool - they won't fry up crisp enough. 3 To serve, arrange the cheese, cilantro and tomatoes in separate small bowls. Put beans into a serving dish. Bring out the tortillas by batches, keeping the rest warm in the oven. Let people spread beans on to their tortillas and add sprinkle on the cheese, cilantro and tomatoes for each tostada. Optional additions are sliced lettuce, guacamole, sour cream, and salsa (though with the chipotle, you probably don't need any more heat).""]"
12,1022,12_fish_fillets_cod_oil,"['fish', 'fillets', 'cod', 'oil', 'pepper', 'heat', 'salt', 'minutes fish', 'minutes', 'place fish']","['Broiled Whole Fish And Vegetables. Clean the inside and outside of the fish with lemon; rinse the fish with cold water; pat dry; place the fish on a baking sheet. Mix 3 tablespoons of oil with the lemon juice, basil, oregano, garlic, wine or sherry, salt and black pepper. Place the fish on a baking pan; brush the fish with the mixture inside and outside; spread the rest of the mixture inside and on top of the fish. Heat the oven to 350 degree, bake the fish covered for 20 minutes. Transfer and place the fish in a single layer on a greased broiler pan; broil the fish for 15 minutes. At the same time, chop the carrots, potatoes, squash, peppers, shallot as desired. Mix one tablespoon of oil with rosemary, pinch of salt and marinate the vegetables. On a non-stick baking pan, roast the vegetables for 20 minutes. Place the broiled fish and the vegetables on a platter and serve it warm. * You may use trout or flounder or sea bass or any fish of youir choice.', 'Basic Baked Fish -Easy Dressing. Preheat oven to 475-500 degrees. Blend the ingredients, except for the fish and baste the fish with the sauce. If the fish is an oily or ""stornger"" type of fish (Bluefish), season further with any commercial seafood seasoning. Bake fish in a single layer in a shallow pan for 6-7 minutes for fish 1/2"" thick or for 7-9 minutes for fish 3/4"" thick. Remove from oven as soon as the fish whiten inside and begins to flake when fork-tested. Above all, do not overcook.', 'Baked Fish With Tomatoes. Preheat over to 400 degrees Rinse fish and pat dry with paper towel. Put salt and pepper in a paper towel. (This will keep you from transeferring fish juice to your salt and pepper containers. Tear off either parchment paper or aluminum foil large enough to wrap each piece of fish. (1 piece for each piece of fish). Arrange paper overlapping on counter with enough of each piece out to place fish on. This takes less counter space and puts the fish close enough that you can season all of it at once. Place each piece of fish on its own piece of paper. Put salt and pepper mixture in hand and lightly sprinkle fish by slightly tilting hand and moving it over the fish. Add herbs to top side of fish if using them. Spoon the tomato mixture over the fish using a spoonful over each fish and using the edge of the spoon to push the mixture all over the top part of the fish. Take care not to press the mixture INTO the fish. Wrap each piece of fish leaving an air pocket in the wrapping. This additional air will help keep the fish moist. (By air pocket I mean lift the paper up at the top so that is is not touching the fish. Then, fold it gently twice and leave it still above the fish leaving a pocket of air between the paper and the fish. Put onto a cooking tray or cookie sheet with sides. Bake for 8 to 10 minutes. (8 for 1/4 inch or less 10 for bigger pieces of fish). Remove from heat. Gently piece paper with fork to allow steam to escape. Place on plate and serve.']"
13,1009,13_rice_curry_heat_add,"['rice', 'curry', 'heat', 'add', 'stir', 'water', 'cook', 'oil', 'minutes', 'fry']","['Almond-Ed Rice. 1. Wash rice with water and drain. 2. In a small deep pot, heat vegetable oil and add garlic. Immediatly start stirring the garlic and when it starts changing its color, add the rice. 3. Stir and fry rice. When it becomes white (not transparent anymore), add water, cumin, cinnamon, chicken broth bouillon, salt, pepper, and lemon juice. Stir. 4. Bring to a boil. When it starts boiling, lower the heat to medium-low and cover. Let it sit there and do not stir it ever again. 5. Coarsely cut the almonds and cranberries. 6. When rice has absorbed almost all liquid, add almonds and cranberries and cover for 5 minutes. If you feel like it needs more water, don\'t hesitate and add 1/2 cup more water. Under any circumstances, do not stir the rice. 7. Remove it from heat, and leave it sit covered for around 10 minutes and serve. Note: The rice won\'t have a lemon flavor at all. Lemon juice helps the rice to become ""fluffy"" and helps the rice grains not to stick together.', 'Spicy Indian Chicken Curry. For the curry: Melt the ghee or butter in a skillet or fry pan over medium high heat. Add the onions and saute for about 3 minutes. Add the garlic and ginger and saute about 1 minute. Add the tomato paste and stir together until fragrant, about 1 minute. Transfer to a large slow cooker. Stir in chicken, diced tomatoes and spices (paprika through cayenne). Cook on low for 5 hours. Stir in heavy cream. Cook on low for 1/2 hour or until chicken is fully cooked without being rubbery. Season with salt and pepper to taste For the rice: Start rice about an hour before curry is done. In a small saucepan, bring the rice and water to a boil. Turn heat to low, cover, and simmer for 20 minutes. Take off heat and fluff with a fork. Melt the ghee or butter in a large skillet or fry pan. Add the ginger, lemon zest and juice, and turmeric and saute until a paste forms, about 1 minute. Add the rice and stir to combine. Season with salt and pepper to taste. For the garlic yogurt: Stir together yogurt and garlic. Serve rice topped with curry, garlic yogurt, fresh cilantro and a side of naan bread if desired. Im trying to make the perfect Tikka Masala! This one missed the mark, but was so delicious I had to share.', 'Curried Coconut Rice. Melt the butter in a large wide saucepan, or deep skillet. Add the onion; cook, stirring, over low heat until golden, about 15 minutes. Add the ginger and garlic; cook, stirring, for 2 minutes. Add the curry powder, cumin, coriander, cardamom, red pepper flakes, and cinnamon; cook, stirring, for 1 minute. Add the rice; stir to coat with the spices, about 1 minute. Add the cauliflower, squash, green beans, lima beans, and carrots; stir to blend with the rice. Add the broth, salt, and a grinding of black pepper; heat to a boil over high heat. Stir thoroughly, making sure that all the rice is moistened. Cover and cook over low heat until the broth is absorbed and the rice is tender, about 15 minutes. Let stand, covered, off the heat, for 10 minutes before serving. Meanwhile, combine the half-and-half or milk and coconut in a food processor. Process just until blended, about 30 seconds. Heat the cashews in a small skillet over low heat, stirring, until toasted, about 3 minutes. Let cool, then coarsely chop. Just before serving, pour the coconut milk over the rice and gently fold together. Spoon the rice into a serving bowl. Sprinkle with the cashews and cilantro, and serve.']"
14,1004,14_corn_cornbread_corn bread_cornmeal,"['corn', 'cornbread', 'corn bread', 'cornmeal', 'bake', 'casserole', 'mix', 'ingredients', 'minutes', 'pour']","['Mexican Corn Bread. Mix corn bread mix. Drain corn and add to mixture. Set aside. Brown ground beef and add salt and pepper to taste. Pour 1/2 of corn bread mixture in casserole dish on top of mixture; add hamburger meat, cheese and peppers. Pour remaining corn bread mixture on top. Bake at 375° for 30 to 40 minutes.', 'Grilled Corn. Preheat a barbeque grill to medium hot. While the grill is heating, shuck the corn. Generously brush each ear of corn with some of the butter and sprinkle with salt and pepper. Grill the corn, basting the corn with the butter to keep it moist and turning the corn to brown the kernels evenly until cooked (about 5 minutes). Serve with salt, pepper and the remaining butter on the side.', 'Corn Casserole. If fresh corn is available, slit center of kernels with sharp knife. Scrape into bowl. Measure 2 cups. If using canned corn pour off excess water from kernel corn. Beat eggs until thick. Add corn.\tCombine flour, salt, sugar and Texas Pete in mixing bowl. Stir milk into dry ingredients. Blend in butter. Combine with corn mixture. Beat well, adding the browned sausage. Pour into greased 1 1/2-quart casserole. Bake 1 hour and 20 minutes at 350°.']"
15,995,15_pecan_pecans_pie_sugar,"['pecan', 'pecans', 'pie', 'sugar', 'bake', 'vanilla', 'butter', 'beat', 'cool', 'minutes']","['Pecan Pie. Cream margarine, sugar and salt. Add eggs, Karo and pecans. Pour into unbaked pie shell. Bake at 350° for 1 hour or until done.', 'Pecan Pie. Add syrup to eggs; stir in sugar, salt and pecans. Pour into pie shell. Bake at 350° for 1 hour or until a knife inserted in center comes out clean.', 'Chocolate Pecan Pie. Mix eggs, corn syrup, melted chocolate, sugar, butter and vanilla until well blended. Stir in pecans and pour in shell. Bake at 350° for 50 to 60 minutes. Pie is done if knife comes out clean. Cool on wire rack.']"
16,974,16_sausage_sausages_cook_minutes,"['sausage', 'sausages', 'cook', 'minutes', 'brown sausage', 'skillet', 'heat', 'add', 'drain', 'cheese']","['Sausage, Cheese, Egg Pie. Brown the sausage in a large skillet. Drain off fat. Put cheese in bottom of pie shells, then sausage. Mix milk and eggs together in a bowl. Pour mixture over sausage. Bake at 375° for 30 minutes. Makes 2 pies.', 'Buffalo Chicken Sausage And Pepper Sandwich. Heat oil in a skillet and tilt skillet to coat surface. Cook sausage slices in the heated skillet until nicely browned, 2 to 3 minutes per side. Add onion, red bell pepper, and green bell pepper to the sausages; cook and stir until tender, about 5 minutes. Transfer sausage mixture to a bowl. Stir blue cheese dressing and hot sauce into the sausage mixture, assuring the sausage slices are coated in sauce. Make a bed of spinach in each hoagie roll. Top spinach with the sausage mixture.', 'Midwestern German Fries With Sausage Gravy. Slice the potatoes into thin slices. Fry potatoes, onion and green pepper in butter in a large skillet. Once the potatoes are fried to your liking, add the beaten eggs. Stir mixture and cook until the eggs are done. While the potato mixture is cooking, brown the pound of sausage in another skillet breaking up the sausage into small chunks. Once the sausage is completely cooked, mix the milk and flour together until smooth and add to the sausage. Cook over medium-high heat until the sausage gravy thickens. Serve the sausage gravy over the German Fries.']"
17,958,17_pie_crust_shell_pie shell,"['pie', 'crust', 'shell', 'pie shell', 'pie mix', 'pie crust', 'chocolate', 'whip', 'peanut butter', 'peanut']","['Chocolate Pie. Melt bars in microwave except one of them. Mix in Cool Whip. Pour in graham cracker pie crust. Spread thin layer of Cool Whip on top of pie. Shave or grate the other bar on top of the pie. Chill for 3 hours.', 'Peanut Butter Pie. Beat together until smooth. Fold in Cool Whip. Put Cool Whip also on top of pie. Chill pie 5 to 6 hours or overnight.', 'Peanut Butter Pie. Mix peanut butter, powdered sugar, cream cheese and half Cool Whip. Blend well. Pour in pie shell. Top with remaining Cool Whip. Chill for 1 hour. Refrigerate left over pie.']"
18,939,18_jello_pineapple_jell_salad,"['jello', 'pineapple', 'jell', 'salad', 'chill', 'gelatin', 'dissolve', 'whip', 'mold', 'juice']","['Jello Salad. For first layer, dissolve black cherry Jell-O in 1 cup hot water and add drained Mandarin oranges. Pour into jello mold and chill until firm.', 'Daffodil Salad. Mix lime jello as directed on box. Let cool, then mix cream cheese in jello. Add chopped celery to mixture and put in 9 x 9-inch pan and congeal. Mix lemon jello with 1 cup hot water. Drain pineapple and put juice in 1 cup measuring cup and finish filling with water. Add to lemon jello and add crushed pineapple. When lime jello is set, pour lemon jello on top. When this is congealed, serve on lettuce leaf.', 'Pineapple And Fruit Jello Salad. Put pineapple, apple and banana in when jello is setting.']"
19,912,19_shrimp_add shrimp_heat_add,"['shrimp', 'add shrimp', 'heat', 'add', 'cook', 'oil', 'prawns', 'minutes', 'sauce', 'pepper']","['Shrimp On The Barbecue. Place shrimp on a wooden skewer stick (use six shrimp per stick). Salt and pepper shrimp. Melt butter and garlic. Dip shrimp into your melted butter and garlic. Put aluminum foil on heated grill top. Punch small holes in aluminum foil. Put shrimp on skewer stick on grill. Brush more butter mixture on shrimp. Cook until shrimp is pink.', 'Grilled Shrimp with Ziti. Mix all ingredients for the marinade together in a bowl. Place shrimp on skewers (about 8 shrimp per skewer) Coat shrimp with marinade. Spray grill with non-stick spray (I used PAM) Cook shrimp for about 6 minutes turning the shrimp every 2 minutes. Serve over Ziti-or favorite pasta', ""Edyth'S Shrimp Creole. Combine all ingredients, except the shrimp. Simmer for 30 minutes. Add shrimp. Cook until shrimp turns pink. Serve over rice.""]"
20,843,20_pizza_dough_crust_cheese,"['pizza', 'dough', 'crust', 'cheese', 'pepperoni', 'pizza pan', 'pizza sauce', 'spread', 'pizza dough', 'bake']","['Deep-Dish Pizza with Sausage, Garlic, and Mozzarella. 1 Position an oven rack on the second-lowest level in the oven and place a baking stone, if using one, on the rack. Preheat the oven to 500F. 2 Brush a 14-inch round deep-dish pizza pan with 1/2 tablespoon of the olive oil. Starting in the middle and using your fingertips, press the dough evenly to cover the bottom and about 2 inches up the sides of the pan. Cover the pan with plastic wrap or a clean kitchen towel and let the dough rise in the pan for 15 to 20 minutes. 3 Meanwhile, in a large skillet over medium heat, warm the remaining 1 tablespoon olive oil and swirl to coat the plan. Scatter the sausage in the pan and saute, stirring frequently, until the sausage is cooked through and no longer pink, about 5 minutes. Remove the pan from the heat. Using a slotted spoon, drain the sausage of all excess fat and transfer the sausage to a plate. 4 To assemble the pizza, lightly press the dough up the sides of the pan if it has slid back down. Lay half of the mozzarella slices over the pizza dough, overlapping them to cover the dough completely. Scatter the cooked sausage over the top. Sprinkle the garlic over the sausage. Arrange the rest of the mozzarella over the top of the sausage and garlic. Ladle the tomato sauce evenly over the mozzarella. Sprinkle the Parmesan over the top of the sauce. 5 Place the pizza in the oven on the rack or baking stone and reduce the temperature to 450F. (Work quickly to slide the pizza into the oven and close the door so the oven temperature doesnt drop too much.) Bake the pizza until the crust is crisp and a deep golden brown and the cheese golden, about 30 minutes. Remove the pizza from the oven and place on a wire rack to cool for 5 to 7 minutes. If using a two-piece deep-dish pizza pan with removable sides, using long oven mitts, lift up the pizza pan. Center one hand underneath the bottom of the pan and slide the side ring of the pan off with the other hand. Carefully set the bottom of the pan back on the wire rack. 6 Cut the pizza into large wedges and serve immediately. 7 If using a one-piece deep-dish pizza pan, use a knife to loosen the crust from the sides of the pan. Cut the pizza into large wedges and then slide a metal spatula under the bottom crust to remove and lift out the wedges. Serve immediately.', 'Basil, Arugula And Goat Cheese Pizza. Prepare grill. Set pizza stone on grill rack and allow to get very hot. If you do nothave a pizza stone, preheat oven to 500 and prepare pizza as directed below, except bake it on a nonstick sheet pan until crust browns on edge, about 10-12 min. Sprinkle cornmeal on pizza pan. Lay pizza crust on cornmeal. Place garlic, arugula, basil, olive oil, parmesan, salt and pepper in a food processor and process to form a past. Spread over pizza dough. Dot with goat cheese. Slide pizza onto pan, cover and let cook until crust is crisp and puffed, about 10 min. Remove to cutting board and cut into four slices. 1 slice per serving', ""GRILLED PIZZA. Pizza is a blank canvas, feel free to use whatever toppings you desire Shape the pizza dough by flattening it with your hands on a floured cutting board or pizza peel if you have one. Either use your fingers to stretch the dough out, or hold up the edges of the dough with your fingers, letting the dough hang and stretch, while working around the edges of the dough. Once you've stretched the dough, let it sit for 5 minutes and then push out the edges with your fingers again, until you have a nice round shape, about 12 to14 inches in diameter. Do not make a raised rim, it will interfere with the grilling process. Combine olive oil and minced garlic bowl. Using a brush or the back of a large spoon, paint the entire surface of the pizza dough with combined mixture. Drizzle half of the BBQ Sauce onto the pizza. Sprinkle mozzarella cheese on top and evenly disperse toppings. Place a pizza stone the the center of your grill. ( Note: if you do not have a pizza stone you can use a non glazed ceramic tile from your local hardware store, the thicker the better) Pre-heat the grill, get it as hot as you can, some where north of 375. Once the grill is hot (you can hold your hands an inch over the grates for no more than 2 seconds) slide the pizza directly onto the pizza stone (if you floured the surface of the pizza peel or cutting board correctly the pizza will slide right off) If you are using a gas grill, reduce the heat. If working with a charcoal grill, close the vents on the cover almost all the way. Close the lid and cook until the bottom is crisp and the cheese is bubbly. Drizzle the remaining BBQ Sauce on the top of the pizza and pull off the stone with a spatula onto a cutting board or other flat surface and let rest for a couple minutes before cutting into slices.""]"
21,835,21_steak_steaks_grill_meat,"['steak', 'steaks', 'grill', 'meat', 'pepper', 'marinade', 'medium', 'sauce', 'heat', 'oil']","['Chimi-Verde Steak. Combine the chimi-verde ingredients together in a bowl and season with salt and pepper. Divide the chimi-verde between two bowls, using one half for the marinade and the other half to top the steak. Place the steak in a large baking dish. Add half of the marinade and turn to coat. Refrigerate for at least 2 hours. 30 minutes before grilling, remove the steak from the marinade and set out on a plate and cover. Preheat the grill to blazing high heat (those super hot flames will sear the outside of the steak while keeping it medium-rare to medium on the inside). Sprinkle both sides of the steaks with salt and pepper. Grill until charred on both sides and cooked to medium-rare, about 3 minutes per side. Remove the steak from the grill and allow to rest under tented foil for 5 minutes. For maximum tenderness, how you cut the steak is just as important as how you cook it. Cut the steaks in half and then turn to slice thinly against the grain. Top with chimi-verde and serve.', 'Curry Flank Steak With Tropical Fruit Salsa. Trim fat from steak. Combine steak and next 6 ingredients (steak through pepper) in a large heavy-duty zip-top plastic bag. Seal bag, and marinate in refrigerator 8-12 hours, turning bag occasionally. Remove steak from bag; discard marinade. Prepare grill or broiler. Place steak on grill rack or broiler pan coated with cooking spray, and cook 7 minutes on each side or until steak is desired degree of doneness. Cut steak diagonally across the grain into thin slices. Serve steak with Tropical Fruit Salsa.', 'Classic Chipotle Steak. Combine all ingredients except steak. Place steak in resealable plastic bag. Reserve 1/4 cup of the steak sauce mixture for brushing onto cooked steak. Pour remaining steak sauce mixture over steak in bag; seal bag. Turn bag over several times to evenly coat steak. Refrigerate at least 30 minutes to marinate. Preheat grill to medium-high heat. Remove steak from bag; discard marinade. Grill steak 10 to 15 minutes or until cooked through, turning occasionally and brushing with the reserved 1/4 cup steak sauce mixture.']"
22,824,22_broccoli_casserole_cook broccoli_cheese,"['broccoli', 'casserole', 'cook broccoli', 'cheese', 'bake', 'dish', 'soup', '350', 'chicken', 'rice']","['Broccoli Casserole. Cook broccoli until almost done. Take away from heat, add pieces of butter on top of the broccoli. Cover broccoli completely with cheese. Moisten crackers up with butter and put on top of cheese. Bake at 400 degrees for about 20 minutes or until bubbly.', 'Broccoli Casserole. Cook broccoli as directed on package. Season with salt. Butter an 8 x 13-inch flat casserole dish. Place layer of broccoli in dish. Cover with mushroom soup and layer Pepperidge Farm stuffing. Repeat broccoli, mushroom soup and stuffing. Bake in a 350° oven for 30 to 35 minutes or until done.', 'Broccoli Casserole. Cook broccoli until tender; drain. Mix all ingredients together. Bake at 350° for 35 minutes.']"
